goos: linux
goarch: amd64
pkg: github.com/komuw/ong/internal/acme
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkGetCertificate/new-8         	  671754	      1717 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  692272	      1885 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  702044	      1780 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  593485	      1814 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  690836	      1761 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  597561	      1904 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  574659	      1752 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  645735	      1883 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  636176	      1735 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  689612	      1892 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  694209	      1709 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  643951	      1811 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  531889	      2000 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  517062	      2080 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  560997	      2155 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  530353	      2122 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  658921	      1862 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  582124	      1761 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  614574	      1751 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  669086	      1777 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  611163	      1764 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  621304	      1804 ns/op	     672 B/op	       8 allocs/op
BenchmarkGetCertificate/new-8         	  564364	      2007 ns/op	     672 B/op	       8 allocs/op
