goos: linux
goarch: amd64
pkg: github.com/komuw/ong/internal/acme
cpu: Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz
BenchmarkGetCertificate/new-8         	  426159	      2508 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  419858	      2389 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  432900	      2498 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  423024	      2503 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  458607	      2583 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  415327	      2457 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  405295	      2619 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  523245	      2748 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  551330	      2432 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  440181	      2570 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  467373	      2448 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  424642	      2613 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  453121	      2407 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  474322	      2275 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  458798	      2249 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  485349	      2224 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  456244	      2697 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  443548	      2306 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  483075	      2634 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  441340	      2663 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  448728	      2292 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  437802	      2417 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  459213	      2415 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  395764	      2631 ns/op	     720 B/op	       9 allocs/op
BenchmarkGetCertificate/new-8         	  491521	      2355 ns/op	     720 B/op	       9 allocs/op
